,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.3094768636701902,0.9702886117099015,0.7799831642002027,0.30879293528156365,1.209060890591195,1.0699554303164285,0.2825453566612343,0.1831955049592418,0.14426352127132425,0.28903267664976073,0.4301876903776113,0.4170576509808642
1,1,0.5158422231843321,0.8870696581178883,0.7162027706835048,0.5161712000123129,0.7728846319537219,0.6382502823323012,0.18249375642417268,0.15445403784843245,0.12309621685197475,0.186298468800761,0.1998452239719648,0.18918831200351288
2,2,0.4830678522874294,0.8516809211369007,0.681762845898476,0.4870742128298024,0.6910994860887214,0.5553344729046027,0.19388699606418017,0.1525259344256194,0.11728264493679541,0.19624627395722952,0.14985025432905627,0.1345732914409627
3,3,0.49796702857694064,0.838230469070095,0.6708164302310919,0.4968890573544796,0.6820507143069316,0.5426189032693703,0.15307220233688815,0.12807360687200114,0.09880607037534607,0.1567604371141087,0.1352663943864843,0.11269152463998706
4,4,0.4907783798945173,0.8286660072401419,0.664599379181703,0.486982694291264,0.6691102303149643,0.5328582455962896,0.1406721122831562,0.10534479697253052,0.0859729634515823,0.15187094964976222,0.10511771065350148,0.09937193278020451
5,5,0.4951396267568972,0.8244120041443055,0.6599028507463907,0.48809273557404614,0.6705612984535412,0.529780260970195,0.14302904488510887,0.10366510054327842,0.08537161952145095,0.15753916860634726,0.09869049488048429,0.09652308386563874
6,6,0.5357133087954059,0.7957930416048812,0.6334763030291636,0.5327857277061366,0.673102569347597,0.5169316870967546,0.146734704430303,0.11376691376503166,0.09287716592381742,0.15381286383388518,0.10724042308843458,0.088439429104688
