,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.9489111072972503,0.4329204938908856,0.33826621874100127,0.9399275656957684,0.3331180611755953,0.25628727724918954,0.024055928408728208,0.09451648651995549,0.07020039434333636,0.02691942145144447,0.07030361765844381,0.04812681571327142
1,1,0.9475978743877177,0.4394484776953243,0.34719083321220334,0.9380338117657849,0.34094831853934593,0.2604207141582782,0.025264331564738323,0.09607900980679483,0.07222246772588597,0.026401094803510963,0.062106554324026966,0.04175328908401037
2,2,0.9455260044960606,0.42074812349195134,0.3295744651250649,0.9376247923075381,0.34947143218493976,0.268283658348597,0.02492874182085875,0.08241366569953704,0.06697899705758933,0.025855422441779435,0.0927649475668007,0.08641683208427901
3,3,0.9416625856733545,0.43080008716182533,0.34347341252414765,0.934874573842743,0.3474261245809711,0.27123623536183283,0.02723388944026515,0.09759925545217052,0.08217488412365595,0.02723039422588205,0.0837830153661844,0.07725559856811892
4,4,0.9488162731813949,0.4060812356275569,0.3208811861770496,0.9419468101237483,0.3306192357973029,0.2583719681317989,0.021647972906891657,0.0840430557264564,0.06852913111499621,0.02222459589855226,0.06920411959136648,0.06496625742855165
5,5,0.952353003953661,0.3981190468049258,0.31636113654776216,0.945244934164635,0.3129900126402612,0.24253871514247013,0.02173487147650613,0.09351787664574149,0.07692545474981793,0.021360119049229864,0.06369721922989653,0.05410035248605006
6,6,0.9535710322844883,0.38358847825279724,0.3045241278491113,0.947972801978235,0.2946986608983668,0.22502547612557042,0.02360855633382527,0.09679732112647722,0.07998313509394854,0.023691326628842258,0.07494536647158397,0.05941963344036783
