,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.32671764493497707,1.3620677774849994,1.1354454044511322,0.288287625814659,1.2243119202493107,1.013628603907732,0.24808044444208488,0.13504117296013857,0.11870439924048014,0.2159437207426743,0.2659523586112026,0.24009927278137383
1,1,0.3786568619288211,1.3397708709119964,1.1066861138592337,0.3335459496245133,1.0235175469476863,0.828066480251459,0.20969237891611675,0.12686038166527072,0.11505775214882576,0.19417857373396732,0.13384339177609725,0.11864863769309116
2,2,0.41821975709664555,1.3101401451885235,1.0780870042915223,0.36313418011563653,1.0642922229955132,0.8701400493658507,0.22049340183735627,0.13060258767937513,0.11577982564653239,0.20123217616768718,0.18683509413163776,0.16444705044499466
3,3,0.2776245727252195,1.4074920956249835,1.1902063193723622,0.25777627251023516,1.3045362409202697,1.0771126910356374,0.25825364228972464,0.14861190147736686,0.11997798958375418,0.22839888956540524,0.20388418622981014,0.17561887786935743
4,4,0.22328682146315032,1.4327074421414785,1.2126883974002396,0.21985188585732746,1.4387186145529716,1.1952972479049977,0.27057911517135985,0.1651477177492224,0.13348689938506966,0.22379445188593772,0.2537513125630288,0.2284261923770765
5,5,0.19763521528150363,1.451434058525164,1.2328627680684943,0.20170325015942392,1.3340495422427656,1.0915952374384952,0.253447312982999,0.1788295375856074,0.14550136582845888,0.22213019695691238,0.2159438037747592,0.18133987100965193
6,6,0.18409679382286318,1.4561703621727882,1.242688125123112,0.1888348800830974,1.392665919067174,1.1443082859882943,0.2336181949987237,0.164435493367161,0.13526575939259786,0.21675758993720878,0.21159441529658776,0.19402150322446896
