,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.2704537285278585,0.6335933578441567,0.5169052410262812,0.22391665844320932,0.8323696197049233,0.7273289868235588,0.3823034288249487,0.21806468827568087,0.17636175205139568,0.3280503038951756,0.28086079920953816,0.27646742073783115
1,1,0.2768107865890239,0.591580754332373,0.4828020847260631,0.2390390345837779,0.6298108071980083,0.5188278002738953,0.3638014925544438,0.17995206274293024,0.15293044426349378,0.3201549814157968,0.21251885311161164,0.19925059623360103
2,2,0.1938434405482212,0.5770245211889691,0.4706723022406514,0.17558619794295338,0.5727184092061541,0.4709505350589753,0.35477458587197863,0.1516841514994784,0.12322433581154209,0.2985416374775596,0.15718429956328347,0.15201967393237545
3,3,0.37092302963802487,0.5568372061214677,0.45744038680705124,0.3154011604777438,0.5391604523184866,0.4390695624351501,0.2987830225958489,0.15714641188701647,0.13013684873755121,0.26780235140906805,0.14891190036023372,0.1348308129183479
4,4,0.49162100918422935,0.4915468496574629,0.4044531361215049,0.41274521958392923,0.4949602872368707,0.40596360528469083,0.22662626774420605,0.1341969284973925,0.11043175785574136,0.2056388848488414,0.15773364861728076,0.13991859821917066
5,5,0.5493399811380683,0.4685094977792811,0.38470681907582915,0.4878879601910473,0.46854849795110676,0.37809680020809183,0.20984207129285493,0.11780490752225889,0.10067993049617899,0.1772103169349343,0.1489732543124837,0.12904939812621685
6,6,0.63754052016818,0.45067207383406716,0.37499593947752147,0.5637414902033933,0.4626594724442821,0.3788103411197662,0.18156748156879446,0.1305795988075847,0.1130926265592059,0.16161698811834987,0.15057318251324786,0.13009227329881462
