,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.3382316243799019,1.0989437049537853,0.881784958980798,0.33782789166105653,1.3660118479940317,1.1934124744289063,0.19976321150573878,0.15754506637237137,0.1234378010382478,0.19668994271915263,0.32733820462946545,0.33068825489802395
1,1,0.4124157849790589,1.094454823640069,0.8758512688103388,0.42213018787313916,0.8669098193750006,0.6913819616068811,0.1662712691671151,0.15724389358723598,0.12874647259340047,0.15988235334264803,0.18462806710557514,0.16061658574903048
2,2,0.4374549090209468,1.0656850666800157,0.851370897490982,0.44247932109275523,0.8286705770340891,0.6521819659716942,0.17257275547551304,0.1677566449375919,0.13498048822090716,0.16595239297031567,0.1830453159118238,0.15646559561639023
3,3,0.40952468556510674,1.0634188762876773,0.8470833347104684,0.41779876500029917,0.8133477105341522,0.6353862959321809,0.18406766413005138,0.17910762546861642,0.14374938652064903,0.1786469144454153,0.18726294539250035,0.15187318802468275
4,4,0.49165889760012726,1.0164446207017672,0.8030424101098289,0.4903764375685498,0.7657370096732962,0.5999755784167963,0.14963853124515508,0.18024683318854284,0.1260456002092926,0.14784221338837888,0.13938850411628342,0.1068650937187404
5,5,0.4673543204873243,1.0260121047616306,0.8096366212175247,0.46754241083244474,0.7665911303549656,0.5952922614444704,0.1363487323466648,0.17002561335420416,0.11991108836560704,0.1378690607163589,0.13386395945595622,0.10487040239402169
6,6,0.4667798357826709,1.0333990532783377,0.8129816605729486,0.46893173808213534,0.7897516603196802,0.6125232860796592,0.13275440525123872,0.17957350040279882,0.11951169324482996,0.13290507401538112,0.11642627368367114,0.07296993163919399
