,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.14148701144629205,1.1593623302966396,0.9362096502743745,0.14927641386613746,1.6173662997999025,1.448905898773825,0.3764215834905599,0.29905012025042704,0.24812503876089817,0.36679601320696437,0.6256187315124273,0.6341231794120028
1,1,0.2437785477197297,1.0709827141757027,0.8621339254159167,0.2560214183432445,1.0204182579585583,0.8478812487984633,0.3399692910529503,0.28579635302628126,0.23672688175312698,0.3299376102483777,0.4154043888528813,0.3679736625187593
2,2,0.21183875449160713,1.0151118520895652,0.8121420210683593,0.21921276635705586,0.8788622686758039,0.7101798081785052,0.35868505454050215,0.26721263509843407,0.2174665682006519,0.3446576407035728,0.257980593259832,0.21888230237189762
3,3,0.2714744870652038,0.9821601495654753,0.7861990784157967,0.2744978909308765,0.8320612857130988,0.6678867395667288,0.3272859882629953,0.24868663305760402,0.20480469617102814,0.3178262816476231,0.23660146308055732,0.20237915700097742
4,4,0.31922561833825963,0.8731940239318027,0.695026264038714,0.30709007460343857,0.7345143786836843,0.5923535292334371,0.28214134938321156,0.1582689257510364,0.1272318829335031,0.27666199329502295,0.20737795073389123,0.18559738916228655
5,5,0.2735752730519866,0.8918443095349261,0.7112548838544497,0.2617077456819796,0.7457310455946394,0.6031665756640496,0.25619329223122383,0.15755421401240743,0.1311496880686157,0.2495072947474474,0.18028083242601683,0.16532043274440328
6,6,0.2942793159657849,0.8917457707279646,0.711235127548222,0.28229891587394573,0.7189559311300332,0.575468989386187,0.28210659363432533,0.1806219687759889,0.1487397537729395,0.2753683032282926,0.18868638175659824,0.16583288951044942
