,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.2921757360904895,1.182818001814817,0.9558004599200741,0.28754896684666514,1.0091396087855715,0.8291689171166648,0.23058629716294415,0.17998273578912172,0.14747515405782202,0.22752491659100038,0.21934276178507112,0.19466825365311374
1,1,0.34992083453448153,1.1336194593255857,0.9151426465754094,0.344661004305294,0.9693833139570305,0.7923284275616918,0.22121651473199777,0.15082694189194057,0.12219965215389811,0.22060373919114637,0.14723981960615837,0.12634094915488545
2,2,0.3658129002403705,1.1151480355115824,0.9001429953623489,0.3606318240640294,0.954448682167118,0.7779799029145922,0.21404977744127737,0.13834678186657773,0.11354661999284743,0.21556708439378658,0.168478361345522,0.14761479114063583
3,3,0.3579389380298782,1.1084346678932249,0.894680057219052,0.35436674298354714,0.9619436798228265,0.7830739541138922,0.21491970567371402,0.1492375406991883,0.1227102886799941,0.21787211968808554,0.18525275657996138,0.16170692047946167
4,4,0.55022576809544,1.1490604336986587,0.9135668827328274,0.5411801298541258,0.8586685258372069,0.6836535131533941,0.08291641096520083,0.22586925327149468,0.17068184134119893,0.08693926167250159,0.14050435475531745,0.10896040999354205
5,5,0.5663725154542502,1.1061464307912738,0.8781204543057367,0.557164945773923,0.8328132848928546,0.6624602242679823,0.08568007037649845,0.20085729856335072,0.14603193014725663,0.08863869059672483,0.11877800082241463,0.08581596177292314
6,6,0.6182074831779364,1.159924441523587,0.9162534999339536,0.6117492789133163,0.8357259459926785,0.6484664137902715,0.07768173062498729,0.2764578733300583,0.20012540120174477,0.08203455953388634,0.17031172487809348,0.11255264163
