,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.4749308207928209,1.3932646834469824,1.157863900065422,0.5088126194643842,0.9163756999518878,0.7661067944765091,0.4379422791144126,0.5624508302905571,0.5304404818479512,0.3648957307496207,0.3306726625231608,0.34077419641008416
1,1,0.5886813320546301,1.2539236988223923,1.0868141162960092,0.625511274085516,0.936940954840533,0.8197134307026863,0.38822241839256083,0.47913469485308896,0.4590831598127262,0.3134204094732568,0.3883601189134882,0.370154846941079
2,2,0.8287688677209772,0.9149189725946805,0.7669774171896279,0.8303531624804463,0.6440416329880176,0.5511972507834435,0.13823718977519314,0.31278926703628285,0.2879416655529922,0.1178208240411247,0.1914601974310609,0.1949741306052552
3,3,0.8244799290817554,0.8676035779740802,0.772091625740286,0.8438288530367929,0.6098148983262006,0.5168790090084076,0.17817326857570076,0.3801278835354247,0.3688093921380075,0.13993329406392122,0.2077312847597498,0.20626198782613614
4,4,0.8248516346809973,0.8455868342095455,0.7717678342282306,0.8512902648889926,0.5854008979098725,0.502931489944458,0.19897026330015444,0.40979592651787017,0.4023277208764374,0.14515830329246118,0.20920369181748877,0.19407477318405564
5,5,0.8628602861442247,0.7773021174998606,0.7137662712915335,0.879520116168895,0.5318217895646161,0.4591426414251327,0.14443977359825377,0.3795295055660773,0.3754351589794616,0.11446223880529287,0.19737277285002433,0.18022258915326939
6,6,0.890136361546999,0.6923837633918525,0.6291745916719083,0.902991346142135,0.47298404051440557,0.41107580304145813,0.12452052066233671,0.3174055898813767,0.3180709030542884,0.09625307961458938,0.19521173865431907,0.16848361013016888
