randval,PearsonR,RMSE,MAE,Abs_PearsonR,Abs_RMSE,Abs_MAE
4,0.7622,0.7948,0.5685,0.9263,0.5726,0.3422
3,0.7742,0.8042,0.5776,0.9245,0.5780,0.3487
2,0.7673,0.7962,0.5757,0.9245,0.5750,0.3468
1,0.7736,0.7907,0.5637,0.9255,0.5706,0.3401
0,0.7671,0.8010,0.5789,0.9239,0.5781,0.3485
