randval,PearsonR,RMSE,MAE,Abs_PearsonR,Abs_RMSE,Abs_MAE
4,0.7354,0.8294,0.6022,0.9212,0.5985,0.3617
3,0.7607,0.8170,0.5886,0.9230,0.5907,0.3560
2,0.7444,0.8297,0.5919,0.9214,0.5958,0.3576
1,0.7440,0.8384,0.6021,0.9174,0.6091,0.3622
0,0.7395,0.8390,0.6110,0.9198,0.6029,0.3621
