randval,PearsonR,RMSE,MAE,Abs_PearsonR,Abs_RMSE,Abs_MAE
1,0.7205,0.8770,0.6383,0.9111,0.6382,0.3860
0,0.6993,0.8967,0.6540,0.9081,0.6521,0.3938
4,0.7057,0.8772,0.6440,0.9126,0.6323,0.3849
2,0.6891,0.9059,0.6451,0.9067,0.6550,0.3874
3,0.6969,0.9007,0.6628,0.9093,0.6478,0.3983
