randval,PearsonR,RMSE,MAE,Abs_PearsonR,Abs_RMSE,Abs_MAE
4,0.7641,0.7836,0.5548,0.9301,0.5834,0.3630
3,0.7756,0.7893,0.5580,0.9299,0.5873,0.3584
2,0.7792,0.7672,0.5452,0.9324,0.5770,0.3565
1,0.7728,0.7741,0.5572,0.9310,0.5796,0.3644
0,0.7749,0.7711,0.5568,0.9316,0.5773,0.3612
