randval,PearsonR,RMSE,MAE,Abs_PearsonR,Abs_RMSE,Abs_MAE
3,0.8056,0.7409,0.5209,0.9334,0.5369,0.3155
0,0.8018,0.7397,0.5191,0.9334,0.5347,0.3131
2,0.8160,0.7212,0.5076,0.9365,0.5245,0.3110
1,0.8094,0.7244,0.5071,0.9358,0.5219,0.3050
4,0.8046,0.7320,0.5187,0.9354,0.5315,0.3146
