randval,PearsonR,RMSE,MAE,Abs_PearsonR,Abs_RMSE,Abs_MAE
2,0.7907,0.7600,0.5325,0.9302,0.5492,0.3206
1,0.7870,0.7678,0.5403,0.9280,0.5558,0.3256
0,0.7921,0.7551,0.5356,0.9315,0.5449,0.3217
3,0.7923,0.7751,0.5471,0.9284,0.5591,0.3287
4,0.7914,0.7510,0.5301,0.9330,0.5395,0.3188
