,addnl,mean_PearsonR,mean_RMSE,mean_MAE,mean_Abs_PearsonR,mean_Abs_RMSE,mean_Abs_MAE,std_PearsonR,std_RMSE,std_MAE,std_Abs_PearsonR,std_Abs_RMSE,std_Abs_MAE
0,0,0.382233870978628,1.498366545616488,1.1694735705823183,0.38082264777293307,1.5048513795141136,1.2151226898077234,0.362331931363045,0.642961044525847,0.5201674972624637,0.33231937797380745,0.7095014317473642,0.6464445512040139
1,1,0.4552475494003982,1.3714184600199497,1.063690762276798,0.4520248963140674,1.228821094517043,0.9870944643110551,0.312194079330603,0.6497650132966171,0.5103197184784962,0.2887759738642847,0.7935536503743998,0.6980850543324536
2,2,0.4729460504037358,1.3280049785296464,1.0424608889744311,0.46494319788796656,1.1749181998862375,0.9219248286403459,0.29813974940377763,0.5693005560247725,0.4560111568362978,0.27363917046763175,0.5471426811355526,0.45944068286048384
3,3,0.44250283742765895,1.3174803724272415,1.0302659820406577,0.44483274857675026,1.1358374967993004,0.8712208666408371,0.3057746905167607,0.48596328769663755,0.39832751438947844,0.2751815640490096,0.4765880397097112,0.4026827109453498
4,4,0.5127764889846754,1.226043101777587,0.9289334602517657,0.5005351526803871,1.0583311234313506,0.7915476362047523,0.24822588819296545,0.30115053069516184,0.2164575301827549,0.23210441825693554,0.3178451502448797,0.27680643575356506
5,5,0.519817494677198,1.2128479938975787,0.9199872768088595,0.5060723822861878,1.037008007440209,0.7766945173565684,0.24699299597319746,0.29819669947919586,0.2176368328924125,0.23396802584854406,0.3190171202830439,0.2821293285637295
6,6,0.5496635280483548,1.1793946068663954,0.8888428557125333,0.5322440088776574,1.0486936270368203,0.7737486982011588,0.2410931384886922,0.2994316146864745,0.21181109389657218,0.23241895903918236,0.35356066397054375,0.3169808536806712
